ad_ed	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
86-015	111	99.00%	1	15	0	7	9	16	0	39	1	21	0	0	2
86-016	107	99.00%	2	17	1	5	7	23	0	25	0	25	0	1	1
86-017	108	99.00%	2	14	0	2	14	15	0	32	0	26	1	1	1
86-021	19	99.00%	1	0	0	0	3	1	0	9	0	4	0	1	0
86-022	65	99.00%	1	12	1	3	3	11	0	16	2	16	0	0	0
86-023	82	99.00%	5	10	0	4	11	13	0	26	0	11	0	2	0
86-024	54	99.00%	2	7	0	2	8	7	0	15	1	11	1	0	0
86-025	103	99.00%	3	13	0	2	23	6	0	40	2	13	0	0	1
86-026	110	99.00%	1	11	1	2	16	18	0	28	2	29	0	1	1
86-027	95	99.00%	2	10	1	3	10	14	0	22	1	30	2	0	0
86-028	98	99.00%	2	16	2	3	8	16	0	34	0	16	0	0	1
86-029	91	99.00%	0	11	0	3	16	11	1	20	2	27	0	0	0
86-030	94	99.00%	3	10	0	2	12	9	1	37	2	17	1	0	0
86-031	109	99.00%	2	13	1	0	26	18	1	27	3	16	1	0	1
86-032	135	99.00%	1	12	2	3	27	12	1	44	2	28	2	0	1
86-033	169	99.00%	5	20	0	3	29	24	0	29	5	53	0	1	0
86-034	133	99.00%	3	23	0	7	21	17	1	30	1	29	0	1	0
86-035	95	99.00%	2	11	1	4	11	16	0	30	0	19	0	0	1
86-036	129	99.00%	5	19	2	3	14	21	0	33	1	30	0	1	0
86-037	68	99.00%	6	12	0	1	11	6	0	18	1	12	1	0	0
86-038	64	99.00%	3	9	0	2	9	14	0	16	0	9	0	2	0
86-039	22	99.00%	1	6	0	2	2	3	0	6	1	1	0	0	0
86-040	132	99.00%	5	14	1	9	11	16	1	49	0	24	0	1	1
86-041	48	99.00%	1	2	0	4	10	3	1	18	0	9	0	0	0
86-042	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
86-043	11	99.00%	0	4	0	0	2	3	0	1	0	1	0	0	0
86-044	39	99.00%	1	8	0	1	7	4	0	16	2	0	0	0	0
86-045	167	99.00%	5	12	0	8	30	22	0	67	5	18	0	0	0
86-046	86	99.00%	0	8	0	3	13	4	0	42	2	13	1	0	0
86-047	134	99.00%	0	15	0	2	26	10	0	70	0	10	0	0	1
86-048	62	99.00%	3	7	0	2	6	10	0	22	1	11	0	0	0
86-049	55	99.00%	3	8	0	1	9	6	0	22	1	3	0	2	0
86-050	122	99.00%	3	21	0	3	11	11	0	64	0	8	0	0	1
86-051	106	99.00%	1	15	0	0	9	14	0	41	0	19	2	3	2
86-052	120	99.00%	2	17	0	2	10	9	0	48	0	32	0	0	0
86-053	77	99.00%	2	7	0	1	13	5	0	41	2	6	0	0	0
86-054	55	99.00%	1	12	0	3	4	5	0	22	2	5	0	0	1
86-055	111	99.00%	1	13	1	0	22	13	0	43	1	16	1	0	0
86-056	101	99.00%	1	13	0	0	13	15	0	41	0	18	0	0	0
86-057	78	99.00%	2	7	0	3	11	10	1	27	0	15	1	1	0
86-058	77	99.00%	1	14	1	6	6	14	1	20	1	13	0	0	0
86-059	109	99.00%	2	6	2	4	10	18	0	38	2	26	0	1	0
86-060	28	99.00%	2	9	0	0	3	4	0	5	1	3	0	1	0
86-062	92	99.00%	1	14	1	1	10	15	0	24	2	22	0	0	2
86-063	121	99.00%	4	19	4	1	30	14	0	23	2	24	0	0	0
86-064	93	99.00%	1	17	0	2	5	6	0	38	0	20	1	3	0
86-065	75	99.00%	1	8	0	2	17	17	0	21	0	7	1	1	0
86-066	108	99.00%	3	34	0	5	15	12	0	26	0	13	0	0	0
86-067	97	99.00%	4	18	1	3	4	12	0	21	1	30	0	3	0
86-068	59	99.00%	1	6	0	1	4	12	0	13	0	21	0	1	0
86-069	104	99.00%	1	16	1	3	15	12	0	25	0	29	0	1	1
86-070	93	99.00%	2	9	0	1	16	10	1	48	1	4	0	0	1
86-071	95	99.00%	0	7	0	0	18	18	0	34	2	15	0	1	0
86-072	62	99.00%	4	4	0	3	4	5	0	41	0	1	0	0	0
87-001	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-002	96	99.00%	1	13	0	5	5	22	1	29	0	20	0	0	0
87-003	39	99.00%	1	3	0	1	8	8	0	15	0	2	0	1	0
87-004	75	99.00%	1	3	0	2	9	10	0	40	0	10	0	0	0
87-005	135	99.00%	2	17	0	2	14	29	0	53	2	15	0	1	0
87-006	131	99.00%	3	18	0	5	17	29	0	40	2	15	0	2	0
87-007	73	99.00%	1	14	2	2	11	21	0	13	0	8	0	1	0
87-008	146	99.00%	6	15	0	1	23	20	0	71	0	7	0	2	1
87-009	117	99.00%	2	5	0	9	11	24	0	51	2	10	1	2	0
87-010	112	99.00%	2	9	0	11	16	25	0	31	0	18	0	0	0
87-011	114	99.00%	2	10	1	7	23	18	0	40	2	11	0	0	0
87-012	1	99.00%	0	0	0	0	0	0	0	0	1	0	0	0	0
87-013	40	99.00%	1	4	0	2	5	3	0	19	1	4	0	1	0
87-014	29	99.00%	1	6	0	0	3	5	0	14	0	0	0	0	0
87-015	3	99.00%	0	0	0	0	0	0	0	3	0	0	0	0	0
87-016	52	99.00%	3	4	0	5	7	7	0	25	0	1	0	0	0
87-017	43	99.00%	0	8	0	0	2	4	0	17	3	9	0	0	0
87-021	3	99.00%	0	0	0	0	1	1	0	1	0	0	0	0	0
87-022	58	99.00%	2	4	0	2	5	10	0	34	1	0	0	0	0
87-023	3	99.00%	0	0	0	0	0	0	0	3	0	0	0	0	0
87-024	106	99.00%	6	10	0	4	13	19	0	37	3	11	0	1	2
87-025	48	99.00%	0	11	0	1	7	10	2	14	1	1	0	1	0
87-026	133	99.00%	0	17	0	3	15	32	0	48	5	9	3	0	1
87-027	78	99.00%	0	18	0	6	6	16	0	16	3	12	0	0	1
87-028	153	99.00%	4	21	0	10	20	27	0	60	1	10	0	0	0
87-029	90	99.00%	2	7	0	3	19	11	1	38	1	5	3	0	0
87-030	33	99.00%	3	5	0	2	9	3	0	9	0	2	0	0	0
87-031	58	99.00%	0	11	0	3	12	9	0	20	0	3	0	0	0
87-032	82	99.00%	2	10	0	2	17	15	1	31	0	2	0	2	0
87-033	84	99.00%	4	8	0	1	17	22	0	24	0	6	0	1	1
87-034	98	99.00%	3	15	1	3	10	22	1	28	0	10	3	0	2
87-035	114	99.00%	5	13	0	6	19	26	2	33	1	8	0	0	1
87-036	71	99.00%	1	12	0	2	8	17	0	24	0	5	2	0	0
87-037	114	99.00%	10	21	2	6	11	30	0	21	2	10	0	1	0
87-038	71	99.00%	2	7	0	1	10	18	1	20	0	11	1	0	0
87-039	147	99.00%	7	26	0	5	15	30	2	52	0	8	1	1	0
87-040	60	99.00%	1	10	0	1	6	16	0	19	3	4	0	0	0
87-041	53	99.00%	3	8	0	1	7	14	0	17	0	3	0	0	0
87-042	127	99.00%	1	16	0	4	30	15	0	53	3	2	0	3	0
87-063	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-070	57	99.00%	2	8	0	2	7	9	0	22	0	3	0	3	1
87-071	79	99.00%	0	11	0	0	16	13	0	31	2	4	0	1	1
87-072	85	99.00%	3	11	1	5	15	24	0	18	0	5	0	2	1
87-073	3	99.00%	0	0	0	0	0	2	0	1	0	0	0	0	0
87-074	60	99.00%	1	8	2	1	9	16	0	15	2	4	1	0	1
87-075	102	99.00%	1	17	0	5	12	10	0	49	1	5	1	0	1
87-076	40	99.00%	0	3	0	4	7	10	1	11	1	3	0	0	0
87-077	117	99.00%	2	18	0	3	11	12	0	60	0	4	1	6	0
87-078	105	99.00%	2	18	1	2	9	21	0	41	0	7	1	3	0
87-079	32	99.00%	0	11	0	1	4	5	0	8	0	3	0	0	0
87-080	74	99.00%	1	14	0	2	8	8	0	32	1	6	0	2	0
87-081	110	99.00%	1	14	0	3	32	13	0	41	3	3	0	0	0
87-082	85	99.00%	3	15	0	3	14	18	1	24	2	4	0	0	1
87-083	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-084	30	99.00%	2	3	0	0	6	6	0	5	3	5	0	0	0
87-085	126	99.00%	0	29	1	5	25	16	0	44	0	6	0	0	0
87-086	99	99.00%	2	15	0	2	13	20	0	40	0	3	0	4	0
87-087	231	99.00%	0	15	0	4	54	32	1	117	3	4	0	1	0
87-088	53	99.00%	0	9	1	1	11	10	0	17	1	1	0	1	1
87-089	73	99.00%	0	8	0	1	10	19	0	30	1	1	0	2	1
87-090	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-091	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-092	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-095	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-096	51	99.00%	2	13	0	1	6	15	0	12	1	1	0	0	0
87-097	58	99.00%	3	4	0	0	11	11	0	20	1	6	0	1	1
87-098	109	99.00%	3	14	0	3	16	30	0	39	1	3	0	0	0
87-102	67	99.00%	1	8	2	2	8	10	0	28	0	3	0	4	1
